number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
1;RH Panel Outer;137-00-263-06GG;;;;;;
1;LH Panel Outer;137-00-263-05GG;;;;;;
1;RH Panel Inner;137-00-263-54GG;;;;;;
1;LH Panel Inner;137-00-263-53GG;;;;;;
2;RH Strip, Bumper, Upper;137-00-262-22GG;;;;;;
2;LH Strip, Bumper, Upper;137-00-262-21GG;;;;;;
2;Strip, Bumper, Lower RH;137-00-262-01GG;;;;;;
2;Strip, Bumper, Lower LH;137-00-262-01GG;;;;;;
3;Shroud RH;781-00-380-11;;;;;;
3;Shroud LH;781-00-380-10;;;;;;
3;Shroud CTR LH;781-00-380-14;;;;;;
3;Shroud CTR RH;781-00-380-15;;;;;;
3;Shroud CTR ;137-00-380-18GG;;;;;;
6;Armcap RH;137-00-341-01GF;;;;;;
6;Armcap LH;137-00-341-01GF;;;;;;
6;Armcap CTR;137-00-341-01GF;;;;;;
6;Armcap CTR RH;137-00-341-01GF;;;;;;
6;Armcap CTR LH;137-00-341-01GF;;;;;;
8;RH Escutcheon;137-00-370-01GG;;;;;;
8;LH Escutcheon;137-00-370-01GG;;;;;;
8;CTR RH Escutcheon;137-00-370-01GG;;;;;;
8;CTR LH Escutcheon;137-00-370-01GG;;;;;;
8;CTR Escutcheon;137-00-370-01GG;;;;;;
4;RH Backrest Foodtray assy;782-00-512-00;;;;;;
4;LH Backrest Foodtray assy;782-00-512-00;;;;;;
4;CTR RH Backrest Foodtray assy;782-00-512-00;;;;;;
4;CTR LH Backrest Foodtray assy;782-00-512-00;;;;;;
9;RH Footrest;;;;;;;
9;LH Footrest;;;;;;;
9;CTR RH Footrest;;;;;;;
9;CTR LH Footrest;;;;;;;
5;RH Dress cover - Headrest;TP25-7931;;;;;;
5;LH Dress cover - Headrest;TP25-7931;;;;;;
5;CTR RH Dress cover - Headrest;TP25-7931;;;;;;
5;CTR LH Dress cover - Headrest;TP25-7931;;;;;;
5;RH Dress cover - Backrest;TP25-8021;;;;;;
5;LH Dress cover - Backrest;TP25-8021;;;;;;
5;CTR RH Dress cover - Backrest;TP25-8021;;;;;;
5;CTR LH Dress cover - Backrest;TP25-8021;;;;;;
5;RH Dress cover - Seatbottom;TP25-7930;;;;;;
5;LH Dress cover - Seatbottom;TP25-7930;;;;;;
5;CTR RH Dress cover - Seatbottom;TP25-7930;;;;;;
5;CTR LH Dress cover - Seatbottom;TP25-7930;;;;;;
5A;Seat Belt with Buckle RH;TP25-7219;;;;;;
5A;Seat Belt with Buckle LH;TP25-7219;;;;;;
5A;Seat Belt with Buckle CTR RH;TP25-7219;;;;;;
5A;Seat Belt with Buckle CTR LH;TP25-7219;;;;;;
5A;Seat Belt without Buckle RH;TP25-7220;;;;;;
5A;Seat Belt without Buckle LH;TP25-7220;;;;;;
5A;Seat Belt without Buckle CTR RH;TP25-7220;;;;;;
5A;Seat Belt without Buckle CTR LH;TP25-7220;;;;;;
5;RH Dress cover - Back Poket;TP25-7932;;;;;;
5;LH Dress cover - Back Poket;TP25-7932;;;;;;
5;CTR RH Dress cover - Back Poket;TP25-7932;;;;;;
5;CTR LH Dress cover - Back Poket;TP25-7932;;;;;;
4;RH Latch ;137-00-410-15GG;;;;;;
4;LH Latch ;137-00-410-15GG;;;;;;
4;CTR RH Latch ;137-00-410-15GG;;;;;;
4;CTR LH Latch ;137-00-410-15GG;;;;;;
