number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
1;RH Panel Outer;137-00-263-06GG;;;;;;
1;LH Panel Outer;137-00-263-05GG;;;;;;
1;RH Panel Inner;137-00-263-54GG;;;;;;
1;LH Panel Inner;137-00-263-53GG;;;;;;
2;RH Strip, Bumper, Upper;137-00-262-22GG;;;;;;
2;LH Strip, Bumper, Upper;137-00-262-21GG;;;;;;
2;Strip, Bumper, Lower RH;137-00-262-01GG;;;;;;
2;Strip, Bumper, Lower LH;137-00-262-01GG;;;;;;
3;Shroud RH;781-00-380-11;;;;;;
3;Shroud LH;781-00-380-10;;;;;;
3;Shroud CTR RH;781-00-380-15;;;;;;
3;Shroud CTR LH;137-00-380-18GG;;;;;;
6;Armcap RH;137-00-341-01GF;;;;;;
6;Armcap LH;137-00-341-01GF;;;;;;
6;Armcap CTR RH;137-00-341-01GF;;;;;;
6;Armcap CTR LH;137-00-341-01GF;;;;;;
8;RH Escutcheon;137-00-370-01GG;;;;;;
8;LH Escutcheon;137-00-370-01GG;;;;;;
8;CTR RH Escutcheon;137-00-370-01GG;;;;;;
8;CTR LH Escutcheon;137-00-370-01GG;;;;;;
5;RH Dress cover - Headrest;TP25-7931;;;;;;
5;LH Dress cover - Headrest;TP25-7931;;;;;;
5;CTR Dress cover - Headrest;TP25-7931;;;;;;
5;RH Dress cover - Backrest;TP25-8022;;;;;;
5;LH Dress cover - Backrest;TP25-8022;;;;;;
5;CTR Dress cover - Backrest;TP25-8022;;;;;;
5;RH Dress cover - Seatbottom;TP25-7930;;;;;;
5;LH Dress cover - Seatbottom;TP25-7930;;;;;;
5;CTR Dress cover - Seatbottom;TP25-8245;;;;;;
5A;Seat Belt with Buckle RH;TP25-7219;;;;;;
5A;Seat Belt with Buckle LH;TP25-7219;;;;;;
5A;Seat Belt with Buckle CTR;TP25-7219;;;;;;
5A;Seat Belt without Buckle RH;TP25-7220;;;;;;
5A;Seat Belt without Buckle LH;TP25-7220;;;;;;
5A;Seat Belt without Buckle CTR;TP25-7220;;;;;;
5;RH Dress cover - Back Poket;TP25-8244;;;;;;
5;LH Dress cover - Back Poket;TP25-8244;;;;;;
5;CTR Dress cover - Back Poket;TP25-8244;;;;;;
