number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
8;Escutcheon LH;854675-401X;;;;;;
6;Armcap LH;854676-401AE;;;;;;
8;Escutcheon CTR;858657-423A;;;;;;
8;Escutcheon RH;858657-423A;;;;;;
2;RH Bumper;857426-410A;;;;;;
1;RH Panel Inner;857445-126A;;;;;;
1;RH Panel Outer;859055-016A;;;;;;
6;Armcap CTR;857242-001AJ;;;;;;
6;Armcap RH;857242-001AJ;;;;;;
1;CTR Panel RH;857445-124B;;;;;;
1;CTR Panel LH;857444-095B;;;;;;
4;RH Backrest Foodtray Outer;858512-405D;;;;;;
4;LH Backrest Foodtray Outer;858512-405D;;;;;;
4;RH Backrest Foodtray Inner;858511-419A;;;;;;
4;LH Backrest Foodtray Inner;858511-419A;;;;;;
4a;Cup Holder RH;848655-401N;;;;;;
4a;Cup Holder LH;848655-401N;;;;;;
10;IAT Food Table RH Leaf;858806-401C;;;;;;
10;IAT Food Table LH Leaf;858807-401C;;;;;;
9;Footrest RH;;;;;;;
9;Footrest LH;;;;;;;
5;RH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;LH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;RH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;LH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;LH Dress cover - Seatbottom;TAP-DO-000167-EPA;;;;;;
5;RH Dress cover - Seatbottom;TAP-DO-000168-EPA;;;;;;
5;LH Dress cover - Back Poket ;TAP-DO-000180-EPA;;;;;;
5;RH Dress cover - Back Poket;TAP-DO-000180-EPA;;;;;;
5A;LH Seat - LH Seat belt with buckle ;TP25-8391;;;;;;
5A;RH Seat - LH Seat belt with buckle ;TP25-8391;;;;;;
5A;LH Seat - RH Seat belt without buckle;TP25-8394;;;;;;
5A;RH Seat - RH Seat belt without buckle;TP25-8394;;;;;;
4;Latch RH;859266-401B;;;;;;
4;Latch LH;859266-401B;;;;;;
