number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
2;Bumper Panel RH;855135-402M;;;;;;
2;Bumper Panel LH;855135-401M;;;;;;
8;Escutcheon RH;854675-401X;;;;;;
8;Escutcheon CTR;854675-415B;;;;;;
8;Escutcheon CTR RH;854675-415B;;;;;;
8;Escutcheon CTR LH;854675-415B;;;;;;
8;Escutcheon LH;854675-415B;;;;;;
6;Armcap CTR;854676-401AE;;;;;;
6;Armcap CTR RH;854676-401AE;;;;;;
6;Armcap CTR LH;854676-401AE;;;;;;
6;Armcap RH;854676-401AE;;;;;;
6;Armcap LH;854676-401AE;;;;;;
5;RH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;LH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;CTR RH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;CTR LH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;RH Dress cover - Backrest;TAP-DO-000188-EPA;;;;;;
5;LH Dress cover - Backrest;TAP-DO-000188-EPA;;;;;;
5;CTR LH Dress cover - Backrest;TAP-DO-000188-EPA;;;;;;
5;CTR RH Dress cover - Backrest;TAP-DO-000188-EPA;;;;;;
5;RH Dress cover - Seatbottom;TAP-DO-000171-EPA;;;;;;
5;LH Dress cover - Seatbottom;TAP-DO-000171-EPA;;;;;;
5;CTR RH Dress cover - Seatbottom;TAP-DO-000171-EPA;;;;;;
5;CTR LH Dress cover - Seatbottom;TAP-DO-000171-EPA;;;;;;
5;LH Dress cover - Back Poket;TAP-DO-000180-EPA;;;;;;
5;CTR LH Dress cover - Back Poket;TAP-DO-000180-EPA;;;;;;
5;RH Dress cover - Back Poket;TAP-DO-000181-EPA;;;;;;
5;CTR RH Dress cover - Back Poket;TAP-DO-000181-EPA;;;;;;
5A;RH Seat belt with buckle;TP25-8389;;;;;;
5A;LH Seat belt with buckle;TP25-8389;;;;;;
5A;CTR RH Seat belt with buckle;TP25-8389;;;;;;
5A;CTR LH Seat belt with buckle;TP25-8389;;;;;;
5A;RH Seat belt without buckle;TP25-8390;;;;;;
5A;LH Seat belt without buckle;TP25-8390;;;;;;
5A;CTR RH Seat belt without buckle;TP25-8390;;;;;;
5A;CTR LH Seat belt without buckle;TP25-8390;;;;;;
