number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
8;Escutcheon RH;854675-401X;;;;;;
6;Armcap RH;854676-401AE;;;;;;
8;Escutcheon CTR;858657-423A;;;;;;
8;Escutcheon LH;858657-423A;;;;;;
2;LH Bumper;857426-409A;;;;;;
6;Armcap CTR;857242-001AJ;;;;;;
6;Armcap LH;857242-001AJ;;;;;;
4;RH Backrest Foodtray Outer;858512-405D;;;;;;
4;LH Backrest Foodtray Outer;858512-405D;;;;;;
4;RH Backrest Foodtray Inner;858511-419A;;;;;;
4;LH Backrest Foodtray Inner;858511-419A;;;;;;
4a;Cup Holder RH;848655-401N;;;;;;
4a;Cup Holder LH;848655-401N;;;;;;
10;IAT Food Table RH Leaf;858806-402C;;;;;;
10;IAT Food Table LH Leaf;858807-402C;;;;;;
9;Footrest RH;;;;;;;
9;Footrest LH;;;;;;;
1;LH Panel Inner;857445-097D;;;;;;
1;LH Panel Outer;857689-065A;;;;;;
1;CTR Panel RH;857445-042E;;;;;;
1;CTR Panel LH;857444-083D;;;;;;
7;LH Video arm assy;860510-411B;;;;;;
5;RH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;LH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;RH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;LH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;LH Dress cover - Seatbottom;TAP-DO-000169-EPA;;;;;;
5;RH Dress cover - Seatbottom;TAP-DO-000170-EPA;;;;;;
5;RH Dress cover - Back Poket;TAP-DO-000181-EPA;;;;;;
5;LH Dress cover - Back Poket;TAP-DO-000181-EPA;;;;;;
5A;RH Seat - LH Seat belt with buckle ;TP25-8391;;;;;;
5A;LH Seat - LH Seat belt without buckle;TP25-8392;;;;;;
5A;LH Seat - RH Seat belt with buckle;TP25-8393;;;;;;
5A;RH Seat - RH Seat belt without buckle;TP25-8394;;;;;;
4;Latch RH;859266-401B;;;;;;
4;Latch LH;859266-401B;;;;;;
