number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
6;Armcap CTR;854676-401AE;;;;;;
2;RH Bumper;857426-410A;;;;;;
2;LH Bumper;857426-409A;;;;;;
1;RH Panel Inner;857445-126A;;;;;;
1;RH Panel Outer;859055-018A;;;;;;
1;LH Panel Inner;857445-129A;;;;;;
1;LH Panel Outer;859055-017A;;;;;;
4;RH Backrest Foodtray Outer;858512-405D;;;;;;
4;LH Backrest Foodtray Outer;858512-405D;;;;;;
4;CTR RH Backrest Foodtray Outer;858512-405D;;;;;;
4;CTR LH Backrest Foodtray Outer;858512-405D;;;;;;
4;RH Backrest Foodtray Inner;858511-419A;;;;;;
4;LH Backrest Foodtray Inner;858511-419A;;;;;;
4;CTR RH Backrest Foodtray Inner;858511-419A;;;;;;
4;CTR LH Backrest Foodtray Inner;858511-419A;;;;;;
4a;Cup Holder RH;848655-401N;;;;;;
4a;Cup Holder LH;848655-401N;;;;;;
4a;Cup Holder CTR RH;848655-401N;;;;;;
4a;Cup Holder CTR LH;848655-401N;;;;;;
9;Footrest RH;;;;;;;
9;Footrest LH;;;;;;;
9;Footrest CTR RH;;;;;;;
9;Footrest CTR LH;;;;;;;
8;Escutcheon CTR;857152-421A;;;;;;
8;Escutcheon RH;858657-413B;;;;;;
8;Escutcheon CTR RH;858657-423A;;;;;;
8;Escutcheon CTR LH;858657-423A;;;;;;
8;Escutcheon LH;858657-423A;;;;;;
6;Armcap CTR RH;857242-001AJ;;;;;;
6;Armcap CTR LH;857242-001AJ;;;;;;
6;Armcap RH;857242-001AJ;;;;;;
6;Armcap LH;857242-001AJ;;;;;;
1;CTR RH Panel LH;857445-124B;;;;;;
1;CTR RH Panel RH;857444-095B;;;;;;
1;CTR LH Panel RH;857445-127A;;;;;;
1;CTR LH Panel LH;857444-094A;;;;;;
10;RH IAT Food Table RH Leaf;858806-401C;;;;;;
10;RH IAT Food TableLH Leaf;858807-401C;;;;;;
10;LH IAT Food Table RH Leaf;858806-402C;;;;;;
10;LH IAT Food Table LH Leaf;858807-402C;;;;;;
5;RH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;LH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;CTR RH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;CTR LH Dress cover - Headrest;TAP-DO-000178-EPA;;;;;;
5;RH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;LH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;CTR RH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;CTR LH Dress cover - Backrest;TAP-DO-000175-EPA;;;;;;
5;CTR RH Dress cover - Seatbottom;TAP-DO-000167-EPA;;;;;;
5;RH Dress cover - Seatbottom;TAP-DO-000168-EPA;;;;;;
5;LH Dress cover - Seatbottom;TAP-DO-000169-EPA;;;;;;
5;CTR LH Dress cover - Seatbottom;TAP-DO-000170-EPA;;;;;;
5;LH Dress cover - Back Poket;TAP-DO-000180-EPA;;;;;;
5;CTR LH Dress cover - Back Poket;TAP-DO-000180-EPA;;;;;;
5;RH Dress cover - Back Poket;TAP-DO-000181-EPA;;;;;;
5;CTR RH Dress cover - Back Poket;TAP-DO-000181-EPA;;;;;;
5A;RH Seat - LH Seat belt with buckle;TP25-8391;;;;;;
5A;CTR RH Seat - LH Seat belt with buckle;TP25-8391;;;;;;
5A;CTR LH Seat - LH Seat belt with buckle;TP25-8391;;;;;;
5A;LH Seat - LH Seat belt without buckle;TP25-8392;;;;;;
5A;LH Seat - RH Seat belt with buckle;TP25-8393;;;;;;
5A;RH Seat - RH Seat belt without buckle;TP25-8394;;;;;;
5A;CTR RH Seat - RH Seat belt without buckle;TP25-8394;;;;;;
5A;CTR LH Seat - RH Seat belt without buckle;TP25-8394;;;;;;
4;Latch RH;859266-401B;;;;;;
4;Latch LH;859266-401B;;;;;;
4;Latch CTR RH;859266-401B;;;;;;
4;Latch CTR LH;859266-401B;;;;;;
