name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
1AB,Seat,664-21-012-22,,TOL-TOP_C.png,23,524,117,643
2AB,Seat,664-21-011-22,,TOL-TOP_C.png,23,645,117,747
3AB,Seat,664-21-011-22,,TOL-TOP_C.png,23,749,117,850
4AB,Seat,664-21-021-22,,TOL-TOP_C.png,23,850,117,950
1EF,Seat,664-20-012-22,,TOL-TOP_C.png,152,502,247,622
2EF,Seat,664-20-011-22,,TOL-TOP_C.png,152,623,247,723
3EF,Seat,664-20-011-22,,TOL-TOP_C.png,152,725,247,826
4EF,Seat,664-20-021-22,,TOL-TOP_C.png,152,828,247,930
1HJ,Seat,664-22-012-22,,TOL-TOP_C.png,281,524,376,643
2HJ,Seat,664-22-011-22,,TOL-TOP_C.png,281,645,376,747
3HJ,Seat,664-22-011-22,,TOL-TOP_C.png,281,749,376,850
4HJ,Seat,664-22-021-22,,TOL-TOP_C.png,281,850,376,950
L11,Lavatory,G2549001103800,,TOL-TOP_C.png,0,0,0,0
L36,Lavatory,G2549019209200,,TOL-TOP_C.png,0,0,0,0
B/CCarpet,Carpet,Generic,,TOL-TOP_C.png,0,0,0,0
DP,Panel,Generic,,TOL-TOP_C.png,0,0,0,0
SP,Sidewall,Generic,,TOL-TOP_C.png,0,0,0,0
LABEL,Label,Generic,,TOL-TOP_C.png,0,0,0,0
