name,x1,y1,x2,y2
12AB,22,109,92,152
13AB,22,168,92,211
14AB,22,226,92,269
15AB,22,284,92,327
16AB,22,343,92,386
17AB,22,401,92,444
18AB,22,460,92,503
19AB,22,518,92,561
20AB,22,577,92,620
21AB,22,635,92,678
22AB,22,694,92,737
23AB,22,750,92,793
24AB,22,807,92,850
25AB,22,864,92,907
11DE,128,54,198,97
12DE,128,113,198,156
13DE,128,172,198,215
14DE,128,230,198,273
15DE,128,289,198,332
16DE,128,347,198,390
17DE,128,404,198,447
18DE,128,463,198,506
19DE,128,522,198,565
20DE,128,580,198,623
21DE,128,639,198,682
22DE,128,697,198,740
23DE,128,755,198,798
24DE,128,812,198,855
25DE,128,812,198,855
11FG,200,54,270,97
12FG,200,113,270,156
13FG,200,172,270,215
14FG,200,230,270,273
15FG,200,289,270,332
16FG,200,347,270,390
17FG,200,404,270,447
18FG,200,463,270,506
19FG,200,522,270,565
20FG,200,580,270,623
21FG,200,639,270,682
22FG,200,697,270,740
23FG,200,755,270,798
24FG,200,812,270,855
25FG,200,869,270,912
12HJ,306,109,376,152
13HJ,306,168,376,211
14HJ,306,226,376,269
15HJ,306,284,376,327
16HJ,306,343,376,386
17HJ,306,401,376,444
18HJ,306,460,376,503
19HJ,306,518,376,561
20HJ,306,577,376,620
21HJ,306,635,376,678
22HJ,306,694,376,737
23HJ,306,750,376,793
24HJ,306,807,376,850
25HJ,306,864,376,907
L53,0,0,0,0
L54,0,0,0,0
