name,x1,y1,x2,y2
15,185,50,215,80
21,185,278,215,308
27,185,681,215,711
14A,63,82,93,112
14B,306,82,336,112
16A,0,250,30,280
16B,370,250,400,280
17A,48,278,78,308
18A,79,278,104,308
19A,107,278,137,308
20A,140,278,170,308
20B,226,278,256,308
19B,259,278,289,308
18B,293,278,318,308
17B,319,278,349,308
22A,0,656,30,686
22B,370,656,400,686
23A,48,681,78,711
24A,79,681,104,711
25A,107,681,137,711
26A,140,681,170,711
26B,226,681,256,711
25B,259,681,289,711
24B,293,681,318,711
23B,319,681,349,711
28A,110,851,140,881
30,110,882,140,912
28B,260,851,290,881
29,260,882,290,912
