name,x1,y1,x2,y2
1,46,271,68,293
2,34,248,56,270
3,27,225,49,247
4,0,172,22,194
5,21,85,43,107
5A,310,34,332,56
6,366,45,388,67
8,376,168,398,190
9,230,271,252,293
