name,x1,y1,x2,y2
34B,357,119,387,149
35A,67,119,92,149
36A,93,119,118,149
26A,13,11,43,41
28,80,11,110,41
30,118,11,148,41
32,149,11,179,41
33,185,11,215,41
43C,118,551,148,581
44C,149,551,179,581
27,292,11,322,41
26B,357,11,387,41
34A,13,119,43,149
37A,118,119,148,149
38A,149,119,179,149
39,185,119,215,149
38B,222,119,252,149
31,222,11,252,41
29,253,11,283,41
37B,253,119,283,149
36B,283,119,308,149
35B,309,119,334,149
40A,0,332,30,362
41A,67,332,92,362
42A,93,332,118,362
43A,118,332,148,362
44A,149,332,179,362
45A,185,332,215,362
44B,222,332,252,362
43B,253,332,283,362
42B,283,332,308,362
41B,309,332,334,362
40B,370,332,400,362
40C,0,551,24,581
41C,67,551,92,581
42C,93,551,118,581
45B,185,551,215,581
44D,222,551,252,581
43D,253,551,283,581
42D,283,551,308,581
41D,309,551,334,581
4D,370,551,400,581
47,0,710,30,740
48A,67,710,92,740
50,93,710,118,740
56,118,710,148,740
54,149,710,179,740
55,185,710,215,740
53,222,710,252,740
51,253,710,283,740
49,283,710,308,740
48B,309,710,334,740
46,370,710,400,740
52,253,807,283,837
