name,x1,y1,x2,y2
1,69,291,91,313
1A,118,300,140,322
2,44,259,66,281
3,13,198,35,220
4,4,165,26,187
5,9,104,31,126
6,55,8,77,30
7A,298,7,320,29
7,317,44,339,66
5A,342,67,364,89
8,344,110,366,132
9,370,140,392,162
10,372,231,394,253
11,361,274,383,296
