name,x1,y1,x2,y2
1,39,295,61,317
9,17,271,39,293
4A,1,206,23,228
4,0,177,22,198
6,340,44,362,66
2,5,241,27,263
5,27,89,49,111
5A,362,56,384,78
10,377,78,399,100
8,378,147,400,169
